ID	SUM	ATH1	ATH2	ATH3	GMA1	GMA2	GMA3	BSA1	BSA2	BSA3
AT3G01790	50	0	0	0	50	0	0	0	0	0
AT5G46430	31	0	2	0	0	0	0	2	27	0
AT4G18100	29	0	0	0	0	0	0	2	27	0
AT1G28330	19	0	1	1	0	0	14	0	0	3
AT5G53440	19	1	0	0	0	0	1	16	0	1
AT4G13170	13	0	6	1	0	0	4	0	2	0
AT3G16770	13	0	0	0	13	0	0	0	0	0
AT1G76060	12	11	0	0	0	0	1	0	0	0
AT3G62870	10	0	0	0	7	0	0	0	3	0
AT1G15200	7	0	0	1	4	0	0	2	0	0
AT2G34470	6	0	0	3	0	3	0	0	0	0
AT5G52470	6	0	0	0	0	0	0	6	0	0
AT3G08580	5	5	0	0	0	0	0	0	0	0
AT3G10370	5	0	0	0	0	1	4	0	0	0
AT1G03650	4	0	0	0	0	4	0	0	0	0
AT2G18020	4	0	1	0	1	0	0	0	1	1
AT4G20850	4	0	4	0	0	0	0	0	0	0
AT3G23920	3	0	0	0	0	0	0	3	0	0
AT1G60170	3	0	1	0	0	0	1	0	1	0
AT1G56280	3	0	0	3	0	0	0	0	0	0
AT5G20010	3	0	0	1	0	0	2	0	0	0
AT5G54970	3	0	0	0	3	0	0	0	0	0
AT3G14600	3	0	0	0	0	0	0	0	0	3
AT3G22640	3	0	0	0	0	3	0	0	0	0
AT4G26410	2	0	0	0	0	0	0	2	0	0
AT3G48990	2	0	2	0	0	0	0	0	0	0
AT4G29390	2	2	0	0	0	0	0	0	0	0
AT2G35300	2	0	0	0	0	0	2	0	0	0
AT5G44120	2	0	0	2	0	0	0	0	0	0
AT2G47400	2	0	0	0	0	0	0	2	0	0
AT5G56670	2	2	0	0	0	0	0	0	0	0
AT1G57860	2	0	2	0	0	0	0	0	0	0
AT5G61020	2	2	0	0	0	0	0	0	0	0
AT1G09690	2	0	2	0	0	0	0	0	0	0
AT2G47610	2	0	0	0	0	0	0	0	2	0
AT3G09500	2	1	0	0	0	1	0	0	0	0
AT4G20830	2	2	0	0	0	0	0	0	0	0
AT5G10360	2	0	2	0	0	0	0	0	0	0
AT2G36990	2	0	0	0	2	0	0	0	0	0
AT2G19750	2	2	0	0	0	0	0	0	0	0
AT3G56510	2	0	0	0	0	2	0	0	0	0
AT1G43170	2	0	0	0	0	0	0	2	0	0
AT3G11400	2	2	0	0	0	0	0	0	0	0
AT2G04410	2	0	0	0	0	0	2	0	0	0
AT3G09850	2	0	0	0	0	0	0	0	0	2
AT1G57660	2	0	2	0	0	0	0	0	0	0
AT1G49000	2	0	0	0	0	2	0	0	0	0
AT5G13870	2	0	0	2	0	0	0	0	0	0
AT5G43930	2	0	0	0	0	0	0	2	0	0
AT2G40000	2	0	0	0	0	2	0	0	0	0
AT1G07210	2	0	0	0	0	0	2	0	0	0
AT1G76350	2	2	0	0	0	0	0	0	0	0
AT1G73820	2	2	0	0	0	0	0	0	0	0
AT5G08130	2	0	0	0	0	0	2	0	0	0
AT3G55170	2	0	0	0	0	0	0	2	0	0
AT1G09590	2	0	2	0	0	0	0	0	0	0
AT2G42560	2	2	0	0	0	0	0	0	0	0
AT5G26760	1	0	0	0	1	0	0	0	0	0
AT2G36160	1	1	0	0	0	0	0	0	0	0
AT1G04850	1	0	1	0	0	0	0	0	0	0
AT3G01370	1	1	0	0	0	0	0	0	0	0
AT1G07930	1	0	0	0	0	0	1	0	0	0
AT1G76630	1	0	0	0	0	0	0	0	0	1
AT1G20580	1	0	1	0	0	0	0	0	0	0
AT2G43680	1	0	0	0	1	0	0	0	0	0
AT4G38130	1	0	0	0	0	0	0	0	1	0
AT5G51190	1	0	0	0	1	0	0	0	0	0
AT5G60390	1	0	0	0	0	0	1	0	0	0
AT3G09840	1	0	0	0	0	0	0	1	0	0
AT3G16640	1	0	0	0	0	0	0	1	0	0
AT3G11510	1	1	0	0	0	0	0	0	0	0
AT1G15310	1	0	0	0	0	1	0	0	0	0
AT5G21105	1	0	0	0	0	0	0	0	0	1
AT5G01500	1	0	0	0	0	0	1	0	0	0
AT4G08310	1	0	0	0	0	1	0	0	0	0
AT2G21490	1	0	1	0	0	0	0	0	0	0
AT4G37870	1	0	0	0	0	0	0	0	0	1
AT1G79340	1	0	0	0	0	0	0	1	0	0
AT3G52580	1	1	0	0	0	0	0	0	0	0
AT2G36640	1	0	0	0	0	1	0	0	0	0
AT4G31510	1	0	0	0	0	0	0	1	0	0
AT1G70780	1	0	0	0	0	0	0	0	0	1
AT4G31700	1	0	0	0	0	0	1	0	0	0
AT5G10860	1	0	0	0	0	1	0	0	0	0
AT1G80270	1	1	0	0	0	0	0	0	0	0
AT4G27870	1	0	0	0	0	1	0	0	0	0
AT4G27080	1	0	1	0	0	0	0	0	0	0
AT1G07940	1	0	0	0	0	0	1	0	0	0
AT4G36130	1	0	1	0	0	0	0	0	0	0
AT1G07920	1	0	0	0	0	0	1	0	0	0
AT4G28510	1	0	0	0	0	0	0	1	0	0
