M03855:91:000000000-B4GJ9:1:1101:15122:2131	271	AT1G16770.1	150.2	98.5	3
M03855:91:000000000-B4GJ9:1:1101:15056:2134	191	AT4G13170.1	127.9	97.4	1
M03855:91:000000000-B4GJ9:1:1101:15056:2134	191	AT3G24830.1	127.1	97.4	1
M03855:91:000000000-B4GJ9:1:1101:15056:2134	191	AT5G48760.1	123.2	97.4	1
M03855:91:000000000-B4GJ9:1:1101:15056:2134	191	AT5G48760.2	123.2	97.4	1
M03855:91:000000000-B4GJ9:1:1101:15056:2134	191	AT3G07110.2	122.1	97.4	1
M03855:91:000000000-B4GJ9:1:1101:15056:2134	191	AT3G07110.1	122.1	97.4	1
M03855:91:000000000-B4GJ9:1:1101:11252:2168	300	AT2G35300.1	128.6	95.0	3
M03855:91:000000000-B4GJ9:1:1101:13716:2302	300	AT2G35300.1	84.0	95.0	3
M03855:91:000000000-B4GJ9:1:1101:13735:2309	300	AT2G35300.1	101.7	95.0	3
M03855:91:000000000-B4GJ9:1:1101:12296:2421	191	AT4G13170.1	134.4	97.4	1
M03855:91:000000000-B4GJ9:1:1101:12296:2421	191	AT3G24830.1	133.7	97.4	1
M03855:91:000000000-B4GJ9:1:1101:12296:2421	191	AT5G48760.1	129.8	97.4	1
M03855:91:000000000-B4GJ9:1:1101:12296:2421	191	AT5G48760.2	129.8	97.4	1
M03855:91:000000000-B4GJ9:1:1101:12296:2421	191	AT3G07110.2	128.6	97.4	1
M03855:91:000000000-B4GJ9:1:1101:12296:2421	191	AT3G07110.1	128.6	97.4	1
M03855:91:000000000-B4GJ9:1:1101:15514:2433	256	AT2G35300.1	77.8	98.4	3
M03855:91:000000000-B4GJ9:1:1101:18750:2501	341	AT2G35300.1	87.4	83.6	3
M03855:91:000000000-B4GJ9:1:1101:18773:2507	300	AT2G35300.1	132.1	95.0	3
M03855:91:000000000-B4GJ9:1:1101:15883:2566	329	AT1G60170.1	199.1	97.6	1
