M03855:91:000000000-B4GJ9:1:1101:13912:1866	276	AT1G29990.1	172.2	98.9	2
M03855:91:000000000-B4GJ9:1:1101:14484:1944	214	AT1G48920.1	141.4	96.7	2
M03855:91:000000000-B4GJ9:1:1101:18627:2014	191	AT4G13170.1	134.4	97.4	1
M03855:91:000000000-B4GJ9:1:1101:18627:2014	191	AT3G24830.1	133.7	97.4	1
M03855:91:000000000-B4GJ9:1:1101:18627:2014	191	AT5G48760.1	129.8	97.4	1
M03855:91:000000000-B4GJ9:1:1101:18627:2014	191	AT5G48760.2	129.8	97.4	1
M03855:91:000000000-B4GJ9:1:1101:18627:2014	191	AT3G07110.2	128.6	97.4	1
M03855:91:000000000-B4GJ9:1:1101:18627:2014	191	AT3G07110.1	128.6	97.4	1
M03855:91:000000000-B4GJ9:1:1101:13496:2057	314	AT1G07210.1	199.1	98.4	1
M03855:91:000000000-B4GJ9:1:1101:20276:2114	314	AT1G07210.1	197.6	98.4	1
M03855:91:000000000-B4GJ9:1:1101:16185:2227	329	AT1G15690.1	105.1	97.6	3
M03855:91:000000000-B4GJ9:1:1101:17862:2295	191	AT4G13170.1	134.4	97.4	1
M03855:91:000000000-B4GJ9:1:1101:17862:2295	191	AT3G24830.1	133.7	97.4	1
M03855:91:000000000-B4GJ9:1:1101:17862:2295	191	AT5G48760.1	129.8	97.4	1
M03855:91:000000000-B4GJ9:1:1101:17862:2295	191	AT5G48760.2	129.8	97.4	1
M03855:91:000000000-B4GJ9:1:1101:17862:2295	191	AT3G07110.2	128.6	97.4	1
M03855:91:000000000-B4GJ9:1:1101:17862:2295	191	AT3G07110.1	128.6	97.4	1
M03855:91:000000000-B4GJ9:1:1101:15191:2325	242	AT5G49030.3	171.8	97.9	2
M03855:91:000000000-B4GJ9:1:1101:15191:2325	242	AT5G49030.1	171.8	97.9	2
M03855:91:000000000-B4GJ9:1:1101:15191:2325	242	AT5G49030.2	171.8	97.9	2
M03855:91:000000000-B4GJ9:1:1101:15209:2331	242	AT5G49030.3	146.0	96.7	2
M03855:91:000000000-B4GJ9:1:1101:15209:2331	242	AT5G49030.1	146.0	96.7	2
M03855:91:000000000-B4GJ9:1:1101:15209:2331	242	AT5G49030.2	146.0	96.7	2
M03855:91:000000000-B4GJ9:1:1101:11691:2358	191	AT4G13170.1	134.4	97.4	1
M03855:91:000000000-B4GJ9:1:1101:11691:2358	191	AT3G24830.1	133.7	97.4	1
M03855:91:000000000-B4GJ9:1:1101:11691:2358	191	AT5G48760.1	129.8	97.4	1
M03855:91:000000000-B4GJ9:1:1101:11691:2358	191	AT5G48760.2	129.8	97.4	1
M03855:91:000000000-B4GJ9:1:1101:11691:2358	191	AT3G07110.2	128.6	97.4	1
M03855:91:000000000-B4GJ9:1:1101:11691:2358	191	AT3G07110.1	128.6	97.4	1
M03855:91:000000000-B4GJ9:1:1101:20975:2363	215	AT4G13170.1	134.4	86.5	1
M03855:91:000000000-B4GJ9:1:1101:20975:2363	215	AT3G24830.1	133.7	86.5	1
M03855:91:000000000-B4GJ9:1:1101:20975:2363	215	AT5G48760.1	129.8	86.5	1
M03855:91:000000000-B4GJ9:1:1101:20975:2363	215	AT5G48760.2	129.8	86.5	1
M03855:91:000000000-B4GJ9:1:1101:20975:2363	215	AT3G07110.2	128.6	86.5	1
M03855:91:000000000-B4GJ9:1:1101:20975:2363	215	AT3G07110.1	128.6	86.5	1
M03855:91:000000000-B4GJ9:1:1101:11643:2365	329	AT1G15690.1	210.3	97.6	3
M03855:91:000000000-B4GJ9:1:1101:14901:2384	329	AT1G15690.1	204.5	98.5	3
M03855:91:000000000-B4GJ9:1:1101:13347:2522	196	AT2G34357.1	126.3	98.0	2
M03855:91:000000000-B4GJ9:1:1101:15881:2546	329	AT1G60170.1	197.6	97.6	1
M03855:91:000000000-B4GJ9:1:1101:18296:2595	309	AT5G54740.1	203.4	98.1	2
M03855:91:000000000-B4GJ9:1:1101:11219:2599	256	AT5G20010.1	144.1	99.6	1
M03855:91:000000000-B4GJ9:1:1101:11197:2600	256	AT5G20010.1	146.4	99.6	1
M03855:91:000000000-B4GJ9:1:1101:11197:2600	256	AT5G20020.1	132.9	84.4	1
M03855:91:000000000-B4GJ9:1:1101:16635:2635	329	AT1G15690.1	204.1	98.5	3
M03855:91:000000000-B4GJ9:1:1101:18688:2695	296	AT3G17160.1	86.7	93.2	3
